datetime,open,high,low,close,Currency pair,interval,currency_base,currency_qoute, type
26-08-2021 08:41,1.1761,1.1763,1.1761,1.17625,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:40,1.1762,1.17625,1.17605,1.1761,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:39,1.1761,1.17625,1.1761,1.17625,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:38,1.1761,1.17625,1.176,1.17625,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:37,,1.1761,,1.176,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:36,1.176,1.17615,1.1759,1.1761,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:35,,1.17605,1.17585,1.17595,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:34,1.1762,1.1762,1.17605,1.17605,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:33,1.17645,,1.17605,1.17615,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:32,1.1761,1.17635,1.1761,1.17635,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:31,1.17585,1.17615,1.17585,1.176,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:30,,1.1762,1.17585,1.17585,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:29,1.17605,1.17605,1.17595,1.17595,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:28,1.1761,1.1761,1.1759,1.17595,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:27,1.17595,1.17615,1.17595,1.1761,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:26,1.17605,1.17605,1.17595,1.176,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:25,,1.1761,1.17595,1.17595,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:24,1.1762,1.17625,1.17605,1.1761,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:23,,1.17635,,1.17625,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:22,1.17615,1.17625,1.17615,1.17625,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:21,1.17625,1.17635,1.1761,1.17615,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:20,,,1.17625,1.17635,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:19,1.1764,1.1764,1.17615,1.17615,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:18,,1.1767,1.17615,1.1763,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:17,1.1766,1.1754,1.1764,1.1764,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:16,,1.1754,1.17645,1.1765,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:15,1.1764,1.1753,1.1763,1.17655,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:14,1.17665,1.17535,1.17635,1.17645,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:13,1.1764,1.1752,,1.17655,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:12,1.1764,1.17515,1.1763,1.1763,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 08:50,,1.1754,1.17595,1.1761,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:45,1.1764,1.1754,1.17605,1.17605,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:40,1.1762,1.1751,1.17605,1.1763,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:35,1.17605,1.17515,,1.17625,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:30,1.176,,1.17585,1.17605,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:25,1.1761,1.17545,1.1759,1.17595,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:20,,1.1749,1.17605,1.1761,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:15,1.1764,1.1753,1.17615,1.17615,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:10,1.1763,1.17585,,1.17645,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:05,1.1766,1.176,1.17625,1.17625,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 08:00,1.177,1.17605,1.17655,1.17675,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:55,1.1768,1.1762,1.1768,1.1769,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:50,,1.1762,1.17645,1.17665,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:45,1.17715,1.176,1.17655,1.17695,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:40,1.17745,1.1758,1.17705,1.17705,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:35,1.1771,1.17545,1.177,1.1773,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:30,,1.17555,1.1766,1.17695,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:25,1.1767,1.17555,1.17665,1.1771,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:20,1.17685,1.17565,1.17645,1.17655,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:15,,,1.17655,1.17655,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:10,1.1767,1.1754,1.1764,1.17665,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:05,,1.1753,1.17615,1.1762,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 07:00,1.17565,1.17535,,1.17635,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 06:55,1.17585,1.1752,1.17565,1.17575,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 06:50,,1.17515,1.1758,1.1759,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 06:45,1.17605,1.1754,1.17595,1.17605,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 06:40,1.17625,1.1754,1.17595,1.17595,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 06:35,1.17625,1.1751,,1.17625,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 06:30,,1.17515,1.17605,1.17615,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 06:25,1.1764,1.1754,1.17595,1.1762,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:45,,1.17545,1.17545,1.17545,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:44,1.17545,1.1749,1.17545,1.17545,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:43,1.17535,1.1753,1.17535,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:42,,1.17585,1.1754,1.1754,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:41,1.1753,1.176,1.1753,1.17545,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:40,1.17535,1.17605,1.17535,1.1754,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:39,,1.1762,1.17535,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:38,1.17525,1.1762,1.17525,1.17525,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:37,1.1753,,1.1753,1.1753,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:36,,1.1758,1.1752,1.1752,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:35,1.1752,1.17545,1.1752,1.17525,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:34,1.1753,1.17555,,1.1751,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:33,,1.17555,1.1752,1.1753,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:32,1.17515,1.17565,1.17515,1.17525,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:31,1.1751,1.17525,1.1751,1.1752,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:30,1.17515,1.1752,1.17515,1.1752,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:29,,1.1752,,1.17515,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:28,1.17525,1.17525,1.1752,1.1752,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:27,1.17525,1.17525,1.17525,1.17525,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:26,1.17525,1.17525,1.1752,1.1752,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:25,1.1753,1.1753,1.1753,1.1753,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:24,,,1.1753,1.1753,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:23,1.17535,1.17535,1.17535,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:22,1.17535,1.17535,1.17535,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:21,1.17535,1.1754,1.17535,1.1754,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:20,1.1753,1.1754,,1.1754,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:19,1.17535,1.1754,1.17535,1.1754,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:18,1.17525,1.17525,1.17525,1.17525,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:17,1.17525,1.17525,1.1752,1.1752,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:16,1.17525,1.17525,1.1752,1.1752,EUR/USD,1min,Euro,US Dollar,Physical
26-08-2021 18:45,1.17545,1.1756,1.17545,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:40,1.17535,1.17545,,1.17545,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:35,1.1752,1.17535,1.1752,1.17535,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:30,1.17515,1.1753,1.17505,1.1751,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:25,1.1753,1.1753,1.17515,1.17515,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:20,1.1753,1.1754,1.1753,1.1753,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:15,1.17515,1.1754,1.17515,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:10,1.17515,,1.17515,1.17515,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:05,1.1753,1.1754,1.1752,1.17525,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 18:00,,1.17555,1.17535,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:55,,1.1754,1.1752,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:50,,1.1755,1.1753,1.1753,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:45,,1.1754,1.1752,1.17535,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:40,,1.17525,1.1751,1.1752,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:35,,1.17525,1.17515,1.17515,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:30,,1.17545,1.1753,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:25,,1.1754,1.175,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:20,,1.17525,1.17505,1.1751,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:15,,1.1754,1.17515,1.17515,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:10,,1.1755,1.17535,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:05,,1.1755,1.17495,1.17545,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 17:00,,1.1754,,1.1749,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 16:55,,,1.1753,1.1753,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 16:50,,1.1759,1.1757,1.17585,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 16:45,,1.1761,1.17585,1.176,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 16:40,,1.1762,1.176,1.17605,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 16:35,,1.1763,,1.1762,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 16:30,,1.17625,,1.1762,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 16:25,,1.1761,1.1759,1.176,EUR/USD,5min,Euro,US Dollar,Physical
26-08-2021 16:20,,1.1759,1.1756,1.1758,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 03:16,,1.17545,1.17545,1.17545,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:15,,1.17555,1.17555,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:14,,1.1756,1.17555,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:13,,1.17565,1.1756,1.17565,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:12,,1.17565,1.17555,1.17565,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:11,,1.1756,1.17555,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:10,,1.1756,1.17555,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:09,,1.1756,,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:08,,,1.17555,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:07,,1.1756,1.17545,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:06,,1.1756,1.17555,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:05,,1.1756,,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:04,,1.1756,1.17545,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:03,,1.1755,1.1755,1.1755,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:02,,1.17555,1.1754,1.1755,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:01,,1.1755,1.1753,1.1755,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:00,,1.1754,1.1752,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:59,,1.1754,1.17525,1.17525,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:58,,1.1754,1.1753,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:57,,1.1755,,1.17535,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:56,,1.1756,1.1754,1.17545,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:55,,1.1756,1.17545,1.17545,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:54,,1.17565,1.17555,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:53,,1.1757,1.1756,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:52,,1.17565,1.17565,1.17565,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:51,,1.17565,,1.17565,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:50,,,1.17555,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:49,,,1.17555,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:48,,1.1757,1.1756,1.17565,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 02:47,1.17565,1.17565,1.1756,1.1756,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 03:15,1.17555,1.1756,,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 03:10,1.17555,1.17565,1.17555,1.17555,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 03:05,1.1756,1.1756,1.17545,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 03:00,,1.1756,1.1752,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:55,1.1756,1.1756,,1.17525,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:50,1.1756,1.1757,1.17555,1.17555,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:45,,1.1757,1.17555,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:40,1.17565,1.1757,1.17555,1.1757,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:35,1.1757,1.1758,1.17565,1.17565,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:30,,1.1758,1.17555,1.1758,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:25,1.17535,1.1756,1.17535,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:20,1.17515,1.1754,,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:15,1.1752,1.1753,1.17515,1.1752,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:10,1.17535,1.17545,1.17525,1.17525,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:05,,1.1755,1.17535,1.1754,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 02:00,1.17495,,,1.17535,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:55,1.17495,1.17505,1.17495,1.17495,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:50,1.17505,1.1751,1.175,1.175,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:45,1.1749,1.1751,1.1749,1.17505,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:40,1.17505,1.17505,,1.17495,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:35,,1.175,1.1748,1.175,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:30,1.17465,1.17485,1.1746,1.17485,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:25,1.1746,1.17475,1.17455,1.17465,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:20,1.1747,1.17485,1.17455,1.17455,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:15,,1.17475,1.17455,1.1747,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:10,,1.1747,,1.1746,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:05,,1.17445,1.17435,1.17435,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 01:00,,1.1747,,1.1744,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 00:55,,1.1746,1.1743,1.1746,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 00:50,,1.1746,1.17435,1.17435,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:58,,1.1772,1.17705,1.17705,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:57,,1.17725,1.17695,1.17695,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:56,,1.1773,1.17695,1.1772,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:55,,,1.17715,1.1772,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:54,,1.17735,,1.17735,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:53,,1.17715,1.1769,1.17715,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:52,,1.1772,1.17675,1.17685,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:51,,1.17675,1.1764,1.17675,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:50,,1.1765,1.17615,1.17645,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:49,,1.17665,1.1755,1.1762,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:48,,1.17555,1.17455,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:47,,1.17445,1.1744,1.1744,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:46,,1.17465,,1.1745,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:45,,1.17445,1.1742,1.1744,EUR/USD,1min,Euro,US Dollar,Physical
